id	name	pronouns	
CHN	China (Mandarin)	他 (tā) - they/them	
IND	India	1173108018	not listed
USA	United States (English)	they/them/theirs	
IDN	Indonesia	242968342	not listed
BRA	Brazil (Portuguese)	"“@“, “x”, “u”, “i” word endings"	
PAK	Pakistan	177276594	not listed
BGD	Bangladesh	158065841	not listed
NGA	Nigeria	152217341	not listed
RUS	Russia	139390205	not listed
JPN	Japan (Japanese)	“わたし” (watashi)	
MEX	Mexico	Words ending in @ or x	
PHL	Philippines	99900177	not listed
VNM	Vietnam	89571130	not listed
ETH	Ethiopia	88013491	not listed
DEU	Germany (Deutsch)	"“_” or “ * ” , example: er_sie, ersie, er:sie, er*sie from “er” (he) and “sie” (she)"	
EGY	Egypt (Arabic)	"هما (huma), انتما (antuma) - they, you"	
TUR	Turkey	77804122	not listed
COD	"Congo, Democratic Republic of the"	70916439	not listed
IRN	Iran	67037517	not listed
THA	Thailand	66404688	not listed
FRA	France (French)	"“ile” : a mix of the French words ""il"" (he) and ""elle"" (she)"	
GBR	United Kingdom (English)	they/them/theirs	
ITA	Italy	58090681	not listed
MMR	Burma	53414374	not listed
ZAF	South Africa	49109107	not listed
KOR	"Korea, South"	48636068	not listed
UKR	Ukraine	45415596	not listed
COL	Colombia	44205293	not listed
SDN	Sudan	41980182	not listed
TZA	Tanzania	41892895	not listed
ARG	Argentina (Spanish)	Words ending in @ or x	
ESP	Spain (Spanish)	Words ending in @ or x	
KEN	Kenya	40046566	not listed
POL	Poland	38463689	not listed
DZA	Algeria	34586184	not listed
CAN	Canada	33759742	not listed
UGA	Uganda	33398682	not listed
MAR	Morocco	31627428	not listed
PER	Peru	29907003	not listed
IRQ	Iraq	29671605	not listed
SAU	Saudi Arabia	29207277	not listed
AFG	Afghanistan	29121286	not listed
NPL	Nepal	28951852	not listed
UZB	Uzbekistan	27865738	not listed
VEN	Venezuela	27223228	not listed
MYS	Malaysia	26160256	not listed
GHA	Ghana	24339838	not listed
YEM	Yemen	23495361	not listed
TWN	Taiwan	23024956	not listed
PRK	"Korea, North"	22757275	not listed
SYR	Syria	22198110	not listed
ROU	Romania	22181287	not listed
MOZ	Mozambique	22061451	not listed
AUS	Australia	21515754	not listed
LKA	Sri Lanka	21513990	not listed
MDG	Madagascar	"“ile” : a mix of the French words ""il"" (he) and ""elle"" (she)"	
CIV	Cote d'Ivoire	21058798	not listed
CMR	Cameroon	19294149	not listed
NLD	Netherlands	16783092	not listed
CHL	Chile	16746491	not listed
BFA	Burkina Faso	16241811	not listed
NER	Niger	15878271	not listed
KAZ	Kazakhstan	15460484	not listed
MWI	Malawi	15447500	not listed
ECU	Ecuador	14790608	not listed
KHM	Cambodia	14753320	not listed
SEN	Senegal	14086103	not listed
MLI	Mali	"“ile” : a mix of the French words 'il' (he) and 'elle'(she)"""	not listed
GTM	Guatemala	13550440	not listed
AGO	Angola	13068161	not listed
ZMB	Zambia	12056923	not listed
ZWE	Zimbabwe	11651858	not listed
CUB	Cuba	11477459	not listed
RWA	Rwanda	11055976	not listed
GRC	Greece (Greek)	-ος ending words	
PRT	Portugal	10735765	not listed
TUN	Tunisia	10589025	not listed
TCD	Chad	10543464	not listed
BEL	Belgium (Dutch)	"ze, hun, ze / zij, hen, hun -  they, them, theirs"	
GIN	Guinea	10324025	not listed
CZE	Czech Republic (Czech)	“oni/je/jejich/se” - they/them/their/themself	
SOM	Somalia	10112453	not listed
BOL	Bolivia	9947418	not listed
HUN	Hungary	9880059	not listed
BDI	Burundi	9863117	not listed
DOM	Dominican Republic	9794487	not listed
BLR	Belarus	9612632	not listed
HTI	Haiti	9203083	not listed
SWE	Sweden (Swedish)	“hen” - they	
BEN	Benin	9056010	not listed
AZE	Azerbaijan	8303512	not listed
AUT	Austria	8214160	not listed
HND	Honduras	7989415	not listed
CHE	Switzerland	7623438	not listed
TJK	Tajikistan	7487489	not listed
ISR	Israel (Hebrew)	“ol” or “imot” - “im” is masculine and “ot” is feminine	
SRB	Serbia	7344847	not listed
BGR	Bulgaria (Bulgarian)	те/тях/техен/им (oni/je/jejich/se) - they/them/their/themself	
HKG	Hong Kong	7089705	not listed
LAO	Laos	6993767	not listed
LBY	Libya	6461454	not listed
JOR	Jordan	6407085	not listed
PRY	Paraguay	6375830	not listed
TGO	Togo	6199841	not listed
PNG	Papua New Guinea	6064515	not listed
SLV	El Salvador	6052064	not listed
NIC	Nicaragua	5995928	not listed
ERI	Eritrea	5792984	not listed
DNK	Denmark (Danish)	"de, dem, deres / hen, hen, hens - they, them, theirs"	
KGZ	Kyrgyzstan	5508626	not listed
SVK	Slovakia	5470306	not listed
FIN	Finland (French)	"“hän”, “hänen” / “se”, “sen” - they, them / it "	
SLE	Sierra Leone	5245695	not listed
ARE	United Arab Emirates (Arabic)	"هما (huma), انتما (antuma) - they, you"	
TKM	Turkmenistan	4940916	not listed
CAF	Central African Republic	4844927	not listed
SGP	Singapore	4701069	not listed
NOR	Norway	4676305	not listed
BIH	Bosnia and Herzegovina	4621598	not listed
GEO	Georgia	4600825	not listed
CRI	Costa Rica	4516220	not listed
HRV	Croatia	4486881	not listed
MDA	Moldova	4317483	not listed
NZL	New Zealand	4252277	not listed
IRL	Ireland	4250163	not listed
COG	"Congo, Republic of the"	4125916	not listed
LBN	Lebanon (Arabic)	mithly and mithliya	
PRI	Puerto Rico	3977663	not listed
LBR	Liberia	3685076	not listed
ALB	Albania	3659616	not listed
LTU	Lithuania	3545319	not listed
URY	Uruguay	3510386	not listed
PAN	Panama	3410676	not listed
MRT	Mauritania	3205060	not listed
